number,id,Annual U.S. Domestic Average Itinerary Fare in Current and Constant Dollars,prices,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
4,1,1995,490.1578381923191,,,292.188575085014,,
5,2,1996,450.74493978930155,-8.0408585422954,-8.0408585422954,276.627986141359,-5.325529562245063,-5.325529562245063
6,3,1997,457.5090237321107,1.5006455637574012,-6.660877765540962,287.221544135321,3.8295322688531668,-1.6999401664653857
7,4,1998,484.9176114395294,5.990829969611165,-1.0690896573469908,309.170375403933,7.6417774769259985,5.8119316656984426
8,5,1999,496.92899284068767,2.4769942600148473,1.3814233132209597,323.825947293673,4.74028983876362,10.827723910647052
9,6,2000,503.29149353745703,1.2803641543227762,2.679474716465675,338.996370868586,4.684746142703373,16.01972143159703
10,7,2001,462.84501945028904,-8.036391357001504,-5.5722497150629176,320.624324562387,-5.419540704558458,9.7319854032963
11,8,2002,443.8531563031917,-4.103287785110779,-9.44689205825965,312.329342904533,-2.587134232306187,6.8930716451383915
12,9,2003,438.16721767920757,-1.2810404845020744,-10.606914030968207,315.355214420001,0.9688079535943216,7.928660225077769
13,10,2004,413.3409235152681,-5.665940572969875,-15.671873158317421,305.409593525834,-3.153783555619627,4.524823887098685
14,11,2005,402.2842445507413,-2.6749538541925726,-17.92761163743741,307.31062697583,0.6224537441831264,5.175442566984749
15,12,2006,416.6447502720921,3.5697410266186766,-14.9978399185332,328.547943748279,6.910700414574113,12.443802312491522
16,13,2007,401.0531505852425,-3.7421807611082105,-18.178774399628253,325.260651375262,-1.0005518024290572,11.318743821734124
17,14,2008,411.29892728426915,2.5547179180802693,-16.088472888422675,346.377736346296,6.4923577081171855,18.545954866823703
18,15,2009,369.8284064217353,-10.082817656821053,-24.54911916013698,310.345020196982,-10.40272291441093,6.213947655785392
19,16,2010,394.04340907878975,6.5476318845667025,-19.60887322907968,336.089094411984,8.295307654255815,15.024721385563023
20,17,2011,413.5392521530706,4.947638413711577,-15.631410959746054,363.851198441895,8.26034063333211,24.526155184551733
21,18,2012,417.31259080886923,0.9124499394320935,-14.861589820148547,374.769581799722,3.0007825739154743,28.262914349296704
22,19,2013,421.6381885656614,1.036536603989811,-13.979099034579399,384.200579267107,2.516478904743382,31.49062353150583
23,20,2014,428.0172926792805,1.5129331940542925,-12.67766027004898,396.340025110684,3.1596635972631653,35.64528489704517
24,21,2015,409.0002343163201,-4.443058420354568,-16.557442838271193,379.179950233912,-4.329634604019563,29.77233970342178
25,22,2016,373.21272239880165,-8.749997900940182,-23.858664838413272,350.366568741592,-7.598867364834383,19.911111733116453
26,23,2017,362.00376361851403,-3.0033699570161296,-26.14547082352733,347.083641512535,-0.936997853661742,18.787547189875216
27,24,2018,355.9604943733187,-1.6693940374509064,-27.3783939299868,349.625364690194,0.7323085486203145,19.657438552643065
28,25,2019,354.83334016198,-0.316651490588323,-27.60835132809668,354.83334016198,1.4895874263587425,21.43984071202617
